city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Mexico City,19.4333,-99.1333,Mexico,MX,Ciudad de México,primary,21804000,9209944
Guadalajara,20.6767,-103.3475,Mexico,MX,Jalisco,admin,5525000,1385621
Monterrey,25.6667,-100.3000,Mexico,MX,Nuevo León,admin,5341171,1135512
Tijuana,32.5250,-117.0333,Mexico,MX,Baja California,minor,2002000,1922523
Ecatepec,19.6097,-99.0600,Mexico,MX,Estado de México,minor,1929926,1929926
León de los Aldama,21.1167,-101.6833,Mexico,MX,Guanajuato,minor,1579803,1579803
Puebla,19.0333,-98.1833,Mexico,MX,Puebla,admin,1576259,1576259
Zapopan,20.7167,-103.4000,Mexico,MX,Jalisco,minor,1476491,1476491
Juárez,31.7386,-106.4870,Mexico,MX,Chihuahua,minor,1321004,1321004
Ciudad Nezahualcóyotl,19.4081,-99.0186,Mexico,MX,Estado de México,,1109363,1077208
Mexicali,32.6633,-115.4678,Mexico,MX,Baja California,admin,1102342,1049792
Nezahualcóyotl,19.4006,-99.0148,Mexico,MX,Estado de México,minor,1077208,1077208
Morelia,19.7683,-101.1894,Mexico,MX,Michoacán,,962555,962555
Cancún,21.1606,-86.8475,Mexico,MX,Quintana Roo,minor,888797,888797
Saltillo,25.4231,-100.9919,Mexico,MX,Coahuila,admin,864431,864431
Tlajomulco de Zúñiga,20.4736,-103.4431,Mexico,MX,Jalisco,minor,727750,727750
Tlaquepaque,20.6167,-103.3167,Mexico,MX,Jalisco,minor,664193,664193
Durango,24.0250,-104.6675,Mexico,MX,Durango,admin,654876,654876
Tlalnepantla,19.5367,-99.1947,Mexico,MX,Estado de México,minor,653410,653410
Chimalhuacán,19.4167,-98.9000,Mexico,MX,Estado de México,minor,614453,614453
Tultitlán de Mariano Escobedo,19.6450,-99.1694,Mexico,MX,Estado de México,minor,520557,520557
San Nicolás de los Garza,25.7500,-100.2833,Mexico,MX,Nuevo León,minor,443273,443273
Veracruz,19.1903,-96.1533,Mexico,MX,Veracruz,minor,428323,428323
Orizaba,18.8500,-97.1000,Mexico,MX,Veracruz,minor,355333,355333
Uruapan,19.4208,-102.0628,Mexico,MX,Michoacán,minor,334749,334749
Salamanca,20.5703,-101.1972,Mexico,MX,Guanajuato,minor,327169,327169
Playa del Carmen,20.6281,-87.0755,Mexico,MX,Quintana Roo,minor,304942,304942
Coacalco,19.6333,-99.0931,Mexico,MX,Estado de México,minor,293444,293444
Heroica Nogales,31.3186,-110.9458,Mexico,MX,Sonora,minor,261137,261137
Campeche,19.8500,-90.5306,Mexico,MX,Campeche,admin,249623,249623
Puerto Vallarta,20.6458,-105.2222,Mexico,MX,Jalisco,minor,224166,224166
Toluca,19.2925,-99.6569,Mexico,MX,Estado de México,admin,223876,223876
Guadalupe,22.7528,-102.5078,Mexico,MX,Zacatecas,minor,215000,215000
Zamora,19.9833,-102.2833,Mexico,MX,Michoacán,,207860,207860
Ciudad del Carmen,18.6333,-91.8333,Mexico,MX,Campeche,minor,191238,191238
Chilpancingo,17.5500,-99.5000,Mexico,MX,Guerrero,admin,187251,187251
San Cristóbal,16.7370,-92.6376,Mexico,MX,Chiapas,minor,183509,183509
Lagos de Moreno,21.3567,-101.9378,Mexico,MX,Jalisco,minor,172402,172402
Comitán,16.2511,-92.1342,Mexico,MX,Chiapas,minor,170000,113479
Chetumal,18.5036,-88.3053,Mexico,MX,Quintana Roo,admin,169028,169028
San Andrés Tuxtla,18.4487,-95.2126,Mexico,MX,Veracruz,minor,164834,164834
San Martin Texmelucan de Labastida,19.2833,-98.4333,Mexico,MX,Puebla,minor,152051,152051
Kanasín,20.9344,-89.5578,Mexico,MX,Yucatán,minor,139753,139753
Tultepec,19.6850,-99.1281,Mexico,MX,Estado de México,minor,131567,131567
Apatzingan de la Constitucion,19.0886,-102.3508,Mexico,MX,Michoacán,,128250,128250
Miramar,22.3375,-97.8694,Mexico,MX,Tamaulipas,,118614,118614
Matamoros,25.5330,-103.2500,Mexico,MX,Coahuila,minor,118337,118337
Ciudad Guzmán,19.7000,-103.4667,Mexico,MX,Jalisco,minor,115000,115000
San Antonio Enchisi,19.7072,-99.7867,Mexico,MX,Estado de México,,110560,110560
Martínez de la Torre,20.0667,-97.0500,Mexico,MX,Veracruz,minor,110415,110415
La Piedad,20.3333,-102.0167,Mexico,MX,Michoacán,minor,106490,106490
Parral,26.9333,-105.6667,Mexico,MX,Chihuahua,minor,104836,104836
Rincón de Romos,22.2333,-102.3167,Mexico,MX,Aguascalientes,minor,94978,94978
Coatepec,19.4522,-96.9614,Mexico,MX,Veracruz,minor,92127,92127
Tenancingo,18.9608,-99.5906,Mexico,MX,Estado de México,minor,90946,90946
Acayucan,17.9422,-94.9103,Mexico,MX,Veracruz,minor,83817,83817
Apizaco,19.4167,-98.1333,Mexico,MX,Tlaxcala,minor,81565,81565
Xicotepec de Juárez,20.3000,-97.9667,Mexico,MX,Puebla,,81455,81455
Salina Cruz,16.1833,-95.2000,Mexico,MX,Oaxaca,,81063,81063
Tala,20.6525,-103.7028,Mexico,MX,Jalisco,minor,80365,80365
Ciudad Lerdo,25.5500,-103.5167,Mexico,MX,Durango,minor,79669,79669
Ciudad Lázaro Cárdenas,17.9561,-102.1922,Mexico,MX,Michoacán,,79200,79200
Cozumel,20.5104,-86.9493,Mexico,MX,Quintana Roo,minor,77236,77236
Tacámbaro de Codallos,19.2356,-101.4569,Mexico,MX,Michoacán,minor,76661,76661
Juchitán de Zaragoza,16.4333,-95.0194,Mexico,MX,Oaxaca,minor,74825,74825
Silao,20.9478,-101.4281,Mexico,MX,Guanajuato,minor,74242,74242
Perote,19.5620,-97.2420,Mexico,MX,Veracruz,minor,72795,72795
Tejupilco,18.9058,-100.1528,Mexico,MX,Estado de México,minor,71077,71077
San Miguel de Allende,20.9142,-100.7436,Mexico,MX,Guanajuato,minor,69811,69811
Los Reyes de Salgado,19.5833,-102.4667,Mexico,MX,Michoacán,,69723,69723
Rioverde,21.9300,-99.9800,Mexico,MX,San Luis Potosí,minor,69613,69613
Ixtaczoquitlán,18.8500,-97.0667,Mexico,MX,Veracruz,minor,68823,68823
